date,sales,cluster,Test_Forecast,Test Forecast,test_Forecast_prophet_online
2016-01-01,0.0,Cluster 1,198900.2786676157,167795.327246829,159565.7251120923
2016-01-02,247294.71786,Cluster 1,191247.0332153946,189460.82264247743,196211.31138888685
2016-01-03,296056.980028,Cluster 1,182841.57985439588,235847.69828354524,212321.8687878525
2016-01-04,226998.08694,Cluster 1,177362.6049289814,267394.7870234017,151863.75012989616
2016-01-05,193723.78597,Cluster 1,181851.7330415272,215419.2828850394,141799.47285604707
2016-01-06,197128.473769,Cluster 1,168535.50185308783,236879.3066035327,146716.67863774596
2016-01-07,152089.881933,Cluster 1,179255.4519632676,220306.91061016545,123766.66264534346
2016-01-08,172416.361036,Cluster 1,185324.80017648745,195424.020056809,152382.76680265166
2016-01-09,230840.35505,Cluster 1,185324.80017648745,212446.94373064477,192651.1465013465
2016-01-10,261729.48197,Cluster 1,185324.80017648745,242242.1617511197,211812.96813144165
2016-01-11,163875.03302,Cluster 1,185324.80017648745,264659.2376669322,153540.6279178689
2016-01-12,142995.569981,Cluster 1,185324.80017648745,219791.8920840164,146058.31502357684
2016-01-13,160190.63812,Cluster 1,185324.80017648745,246311.7611862764,153554.49408475313
2016-01-14,129567.625,Cluster 1,185324.80017648745,225515.5546370655,132620.9929504592
2016-01-15,159415.913035,Cluster 1,185324.80017648745,195685.06056295705,167804.3271680315
2016-01-16,217732.496856,Cluster 1,185324.80017648745,214588.96456349763,210810.4820212236
2016-01-17,245985.623075,Cluster 1,185324.80017648745,248194.18858084572,232365.5356724024
2016-01-18,165452.11601199998,Cluster 1,185324.80017648745,269229.6540931174,175678.84829485937
2016-01-19,142889.58598,Cluster 1,185324.80017648745,221739.546669426,169563.60291812304
2016-01-20,175868.07897,Cluster 1,185324.80017648745,247775.09756035687,178853.05809916166
2016-01-21,127478.11401,Cluster 1,185324.80017648745,230063.0660297104,157970.67438051297
2016-01-22,155855.723983,Cluster 1,185324.80017648745,201277.49424955167,158025.33361946794
2016-01-23,205589.674106,Cluster 1,185324.80017648745,217867.07346748645,199409.4123112081
2016-01-24,232787.778102,Cluster 1,185324.80017648745,250107.82406577427,219113.76791519808
2016-01-25,154941.11002,Cluster 1,185324.80017648745,272055.29940998805,159780.70996821413
2016-01-26,134740.02498,Cluster 1,185324.80017648745,226283.2802263424,151315.4658838368
2016-01-27,155552.72703,Cluster 1,185324.80017648745,250925.12552091735,158184.40712474904
2016-01-28,120207.849047,Cluster 1,185324.80017648745,232835.19075840988,134868.15102251034
2016-01-29,152721.512995,Cluster 1,185324.80017648745,205152.23510155105,164122.2163031708
2016-01-30,219546.595046,Cluster 1,185324.80017648745,222057.83275521043,205247.17742117395
2016-01-31,261556.043668,Cluster 1,185324.80017648745,253372.71851758717,224298.90319563585
2016-02-01,202351.88,Cluster 1,185324.80017648745,274337.4106845207,164813.68683590114
2016-02-02,176461.841,Cluster 1,185324.80017648745,229597.2333959325,155778.70410119716
2016-02-03,184655.302994,Cluster 1,185324.80017648745,254172.25629647565,163120.73439319062
2016-02-04,146713.347014,Cluster 1,185324.80017648745,236440.51045695072,139281.5313347877
2016-02-05,173552.6919997,Cluster 1,185324.80017648745,208989.4754456035,165103.47412321638
2016-02-06,205264.10594,Cluster 1,185324.80017648745,225500.1811185546,207066.6201642308
2016-02-07,162290.332914,Cluster 1,185324.80017648745,256420.57804590272,226278.95657742192
2016-02-08,155912.399974,Cluster 1,185324.80017648745,277047.6748846292,168831.39360948256
2016-02-09,184646.012943,Cluster 1,185324.80017648745,233045.0477636241,162095.42983254383
2016-02-10,185104.66201,Cluster 1,185324.80017648745,257032.4622655715,170905.5785847921
2016-02-11,149073.242994,Cluster 1,185324.80017648745,239763.3347509291,148247.6982124896
2016-02-12,166250.909984,Cluster 1,185324.80017648745,212954.22819240103,151942.74847496513
2016-02-13,198589.874035,Cluster 1,185324.80017648745,229069.08818736288,193697.15506112087
2016-02-14,225513.50302,Cluster 1,185324.80017648745,259288.1080265173,212999.889889242
2016-02-15,174262.385954,Cluster 1,185324.80017648745,279533.8627097976,153595.07622976502
2016-02-16,160751.358982,Cluster 1,185324.80017648745,236482.5446919221,145568.8595421436
2016-02-17,170823.379957,Cluster 1,185324.80017648745,259973.92310440695,153694.5762192674
2016-02-18,130575.183016,Cluster 1,185324.80017648745,242999.9491810078,129527.1501125122
2016-02-19,158151.991104,Cluster 1,185324.80017648745,216730.8544366288,156732.18237361935
2016-02-20,200770.65724,Cluster 1,185324.80017648745,232561.10278098303,200082.06418660912
2016-02-21,230696.67397,Cluster 1,185324.80017648745,262178.8630472642,220305.57598978892
2016-02-22,158426.345013,Cluster 1,185324.80017648745,281988.5901964259,161504.19972598192
2016-02-23,142303.53499,Cluster 1,185324.80017648745,239793.13864555655,154110.6753881558
2016-02-24,153053.528999,Cluster 1,185324.80017648745,262831.68235008104,162641.42966826732
2016-02-25,123103.4038,Cluster 1,185324.80017648745,246210.5981477225,138638.61828428376
2016-02-26,152054.44496,Cluster 1,185324.80017648745,220457.13916776725,169949.63026790883
2016-02-27,206842.161086,Cluster 1,185324.80017648745,235957.95080705572,213514.67384460013
2016-02-28,238426.644408,Cluster 1,185324.80017648745,264987.5594591757,233332.07540645724
2016-02-29,170006.097974,Cluster 1,185324.80017648745,284408.397389226,174247.47900030718
2016-03-01,205995.138393,Cluster 1,185324.80017648745,243057.80710742585,167470.22172890976
2016-03-02,208584.684999,Cluster 1,185324.80017648745,265624.7792408246,175935.96792943275
2016-03-03,157822.661,Cluster 1,185324.80017648745,249339.72612127825,150538.6970014876
2016-03-04,173417.716671,Cluster 1,185324.80017648745,224110.7872501391,175173.45538290968
2016-03-05,240532.506004,Cluster 1,185324.80017648745,239299.6638515522,218750.4963608584
2016-03-06,261833.36907,Cluster 1,185324.80017648745,267740.385640938,238369.79286508844
2016-03-07,171633.385122,Cluster 1,185324.80017648745,286769.6597208384,178100.91075082784
2016-03-08,147489.179954,Cluster 1,185324.80017648745,246254.5161499728,170774.78399510952
2016-03-09,166120.91003,Cluster 1,185324.80017648745,268368.71366074245,179430.1953900589
2016-03-10,131485.3038,Cluster 1,185324.80017648745,252408.89606680023,153700.35330702615
2016-03-11,156888.012998,Cluster 1,185324.80017648745,227686.15909241865,155319.94776548055
2016-03-12,204848.78599,Cluster 1,185324.80017648745,242571.01180844175,197866.77869768295
2016-03-13,224876.17601,Cluster 1,185324.80017648745,270440.85731092223,216505.8327652344
2016-03-14,152600.894,Cluster 1,185324.80017648745,289086.3313521846,155071.39647311228
2016-03-15,145762.25167,Cluster 1,185324.80017648745,249385.15039975767,147389.37312235063
2016-03-16,174401.019965,Cluster 1,185324.80017648745,271054.91879818705,156164.47012419364
2016-03-17,129306.666002,Cluster 1,185324.80017648745,255417.1855393302,129860.68780307214
2016-03-18,152958.274096,Cluster 1,185324.80017648745,231191.66006658284,142089.34551915555
2016-03-19,192520.733136,Cluster 1,185324.80017648745,245776.26059046504,185198.533157503
2016-03-20,213358.47897,Cluster 1,185324.80017648745,273085.3870768537,204431.3331710708
2016-03-21,152024.215017,Cluster 1,185324.80017648745,291356.3125833615,143203.6713120596
2016-03-22,133805.31198199998,Cluster 1,185324.80017648745,252453.99936779647,136044.71281090757
2016-03-23,166670.507001,Cluster 1,185324.80017648745,273687.3580599552,145947.6506289638
2016-03-24,139711.04101000002,Cluster 1,185324.80017648745,258364.09322927456,119962.66703134736
2016-03-25,138432.03098,Cluster 1,185324.80017648745,234626.26565944336,134921.46903305818
2016-03-26,181543.14798,Cluster 1,185324.80017648745,248917.601865453,178608.9731291801
2016-03-27,196383.99197,Cluster 1,185324.80017648745,275677.09280970646,198082.7311294796
2016-03-28,154387.461783,Cluster 1,185324.80017648745,293580.2542519752,137269.84014577276
2016-03-29,140100.8510285,Cluster 1,185324.80017648745,255460.74882027492,129877.34695963153
2016-03-30,153992.309972,Cluster 1,185324.80017648745,276267.0478835632,139918.93408998425
2016-03-31,142821.529995,Cluster 1,185324.80017648745,261252.0184841453,113676.3826081884
2016-04-01,203396.680006,Cluster 1,185324.80017648745,237991.66334806016,196520.3258375456
2016-04-02,273630.49096,Cluster 1,185324.80017648745,251995.48944087312,244809.4298433548
2016-04-03,311764.011005,Cluster 1,185324.80017648745,278216.68876886845,268455.3300972786
2016-04-04,188600.52097,Cluster 1,185324.80017648745,295759.64765701373,209247.19075960983
2016-04-05,166049.57294,Cluster 1,185324.80017648745,258407.0141777274,204484.71570427984
2016-04-06,176061.685975,Cluster 1,185324.80017648745,278794.6893737668,217203.93412327248
2016-04-07,136185.790015,Cluster 1,185324.80017648745,264081.80603584985,192376.737773255
2016-04-08,164391.582995,Cluster 1,185324.80017648745,241289.4554124457,165079.8259332605
2016-04-09,212177.45321,Cluster 1,185324.80017648745,255011.49642597817,209062.6226941988
2016-04-10,246253.146894,Cluster 1,185324.80017648745,280705.11878873355,228488.99819765883
2016-04-11,156907.02003,Cluster 1,185324.80017648745,297895.1461478736,164422.4614800456
2016-04-12,150164.848133,Cluster 1,185324.80017648745,261294.0471562451,155863.51149766502
2016-04-13,163151.602975,Cluster 1,185324.80017648745,281271.5195382951,164150.92304922937
2016-04-14,120667.486962,Cluster 1,185324.80017648745,266854.6338167008,135652.81808682356
2016-04-15,161118.617002,Cluster 1,185324.80017648745,244520.8601629291,253986.13964885185
2016-04-16,206721.43698,Cluster 1,185324.80017648745,257966.8358009148,303377.0312242275
2016-04-17,306252.25112,Cluster 1,185324.80017648745,283143.5136371993,329240.90992552176
2016-04-18,286189.425966,Cluster 1,185324.80017648745,299987.6754850863,270552.3055702473
2016-04-19,245233.200011,Cluster 1,185324.80017648745,264122.9706896633,265929.0931390647
