date,sales,cluster,Test_Forecast,Test Forecast,test_Forecast_prophet_online
2016-01-01,0.0,Cluster 3,244965.842175343,212756.01861143476,176542.93711107384
2016-01-02,246117.831976,Cluster 3,221832.34486371969,230480.9837238996,218650.3247988689
2016-01-03,295881.040997,Cluster 3,212151.58742093208,290705.2742456815,234155.35170057847
2016-01-04,253077.861983,Cluster 3,207736.5379952849,309849.72262739745,176896.70873329072
2016-01-05,221092.514085,Cluster 3,217786.7217315109,262634.60864212643,171274.37010710538
2016-01-06,212396.239917,Cluster 3,234136.0281573537,305977.7765080299,166322.8002647462
2016-01-07,171514.8510075,Cluster 3,237405.6845054112,268828.36197226826,147297.6449067891
2016-01-08,184158.529983,Cluster 3,224412.3680696228,223452.3367900468,163850.8826745092
2016-01-09,250580.713087,Cluster 3,215540.39610846172,248307.50601854792,210233.72114881143
2016-01-10,272008.341935,Cluster 3,211827.7102383465,299444.3306701728,229021.12993692505
2016-01-11,190097.662007,Cluster 3,210134.486157965,306747.4227429621,174870.23938689556
2016-01-12,178619.454012,Cluster 3,213988.8514150294,255201.09983764135,172730.82933397093
2016-01-13,177862.692989,Cluster 3,220259.00530661707,293299.6400626096,170938.19702078946
2016-01-14,150026.013998,Cluster 3,221512.9574891097,276077.832678474,154622.11349335697
2016-01-15,175067.816985,Cluster 3,216529.8657607835,238528.35671739507,181933.04130557817
2016-01-16,246736.11706,Cluster 3,213127.3587632756,254770.44185209463,232152.78508632423
2016-01-17,271259.025123,Cluster 3,211703.49947833683,298528.4711420304,254017.3209728512
2016-01-18,192386.871965,Cluster 3,211054.1278609481,309548.9723920795,202097.55295758968
2016-01-19,173293.68789,Cluster 3,212532.3228795442,261699.3532632776,201891.36151933012
2016-01-20,205353.1880577,Cluster 3,214937.00163472665,299281.7773294101,202731.4398613996
2016-01-21,150522.242996,Cluster 3,215417.90724332747,282222.42155363987,186631.509980581
2016-01-22,168870.404011,Cluster 3,213506.83216902852,245176.11397831375,175436.58345543998
2016-01-23,233211.110871,Cluster 3,212201.9301789444,257659.32744608648,224345.3467153971
2016-01-24,250860.3249615,Cluster 3,211655.8631713299,300215.5128754565,244293.6916100902
2016-01-25,174144.853978,Cluster 3,211406.821415808,315036.61551833566,189850.7186696404
2016-01-26,168706.393989,Cluster 3,211973.7268249406,268624.0560749974,187646.097633896
2016-01-27,172775.013033,Cluster 3,212895.94979037432,302427.1616975098,185649.81892076085
2016-01-28,143969.33699,Cluster 3,213080.3828234777,285607.8939658476,166951.2932673514
2016-01-29,179705.632968,Cluster 3,212347.46275322375,251001.89070524127,191692.15608896103
2016-01-30,242778.573916,Cluster 3,211847.01728611003,262538.5044068686,240297.4646010557
2016-01-31,273832.28209,Cluster 3,211637.5940797868,303644.53055758704,259528.43730355467
2016-02-01,230360.03388,Cluster 3,211542.08359806475,319765.1710701146,205343.24968602628
2016-02-02,207274.924989,Cluster 3,211759.4985797557,274161.96584461204,202729.7186887351
2016-02-03,204482.126995,Cluster 3,212113.18207953317,305691.5021938367,201214.2983383529
2016-02-04,173777.988965,Cluster 3,212183.9143460972,289416.749379244,182078.7324410425
2016-02-05,198328.81199,Cluster 3,211902.830763037,256899.48862176924,175660.30415271551
2016-02-06,232045.363986,Cluster 3,211710.9039612865,267627.5128988652,223724.07459600983
2016-02-07,161267.29311,Cluster 3,211630.5876654196,307048.92512464983,241068.26684352948
2016-02-08,137418.709986,Cluster 3,211593.958257232,323809.7216275221,187198.80287397117
2016-02-09,177076.766178,Cluster 3,211677.3394942112,279376.6826210155,186047.95646549852
2016-02-10,208892.330947,Cluster 3,211812.9813321435,309441.74818065297,185728.9338115848
2016-02-11,175313.270107,Cluster 3,211840.1079994715,293417.7411930269,167036.3818636808
2016-02-12,184099.331969,Cluster 3,211732.3090949626,262341.96532988764,157505.6119772672
2016-02-13,220817.1601005,Cluster 3,211658.7028787996,272536.6774830738,204871.0573381076
2016-02-14,236032.392885,Cluster 3,211627.9006219961,310604.5598966663,222504.3531551901
2016-02-15,199071.66602,Cluster 3,211613.85280734807,327712.04924811964,167336.2871741188
2016-02-16,196893.377126,Cluster 3,211645.830505601,284414.8801357112,164754.66468359262
2016-02-17,190717.04398,Cluster 3,211697.8507672452,313358.49690977915,163427.0989771684
2016-02-18,155453.731022,Cluster 3,211708.25416750464,297408.651801317,143293.39793342986
2016-02-19,173843.987991,Cluster 3,211666.9120027051,267444.8981558982,172543.48634302072
2016-02-20,223287.389019,Cluster 3,211638.68314144955,277367.78585356683,222667.73777078805
2016-02-21,248600.886975,Cluster 3,211626.87010881468,314331.6988231202,242125.9372640414
2016-02-22,187606.055028,Cluster 3,211621.4826044528,331512.28227350605,188954.1627053108
2016-02-23,178980.350118,Cluster 3,211633.7464328943,289226.6364518723,187924.94063504925
2016-02-24,180799.968937,Cluster 3,211653.69682329585,317311.7775662104,187788.53461657916
2016-02-25,151351.864018,Cluster 3,211657.6866512997,301417.37137005455,168529.34660009714
2016-02-26,167487.343884,Cluster 3,211641.8314383168,272344.3815151877,198695.74256794585
2016-02-27,230668.43109,Cluster 3,211631.00533354844,282114.05916646443,250186.73495919796
2016-02-28,242307.182898,Cluster 3,211626.47489472627,318138.90441536007,269709.0902090511
2016-02-29,195523.7569815,Cluster 3,211624.40872258652,335223.9004670291,217455.45358519765
2016-03-01,240378.133049,Cluster 3,211629.11204697387,293852.85194592114,217909.23151819213
2016-03-02,231583.161001,Cluster 3,211636.76325949363,321270.9263003238,218285.5253062781
2016-03-03,176216.5611185,Cluster 3,211638.29340609032,305444.1353451166,198139.94636751764
2016-03-04,197683.817988,Cluster 3,211632.2127429235,277090.3508680288,185116.86590956053
2016-03-05,255379.452045,Cluster 3,211628.06080270192,286756.69303020707,234050.33500013832
2016-03-06,258856.8431005,Cluster 3,211626.32332541255,321975.2964683686,251015.97011972396
2016-03-07,199631.462889,Cluster 3,211625.53092376905,338875.5918327701,195888.49484680776
2016-03-08,169675.3910755,Cluster 3,211627.33470473337,298334.5879822783,193458.48112441524
2016-03-09,181614.824979,Cluster 3,211630.2690359341,325206.223744871,191673.953271987
2016-03-10,160803.189039,Cluster 3,211630.8558653927,309469.09505201806,169547.3328649053
2016-03-11,176060.313042,Cluster 3,211628.52385858912,281714.8154512093,173917.90188894494
2016-03-12,225707.849979,Cluster 3,211626.93154002467,291298.14779954124,222484.4307778745
2016-03-13,246190.21201,Cluster 3,211626.26519677413,325812.61493576766,239294.2669070103
2016-03-14,183682.264106,Cluster 3,211625.96130129875,342481.06518158584,183762.58816132956
2016-03-15,184301.94691,Cluster 3,211626.6530727989,302696.8491145304,181769.47927763127
2016-03-16,198594.555865,Cluster 3,211627.77842379047,329097.6656131938,180847.79217352383
2016-03-17,156753.039966,Cluster 3,211628.0034798826,313477.33937717834,158662.9110159734
2016-03-18,176113.118028,Cluster 3,211627.10912747684,286242.1080705939,168500.22810213562
2016-03-19,235981.22099,Cluster 3,211626.49845432755,295745.3712992211,218468.7659071945
2016-03-20,237809.425182,Cluster 3,211626.24290374844,329629.9428432168,236329.15899197507
2016-03-21,191906.796002,Cluster 3,211626.1263562113,346044.50802209426,181869.55980996045
2016-03-22,169306.56201,Cluster 3,211626.39165882728,306958.2002248697,180853.87191778683
2016-03-23,180307.259981,Cluster 3,211626.82324434628,332935.6615770016,181480.70816647867
2016-03-24,185871.878029,Cluster 3,211626.9095560402,317457.8093725285,160512.63031554705
2016-03-25,157277.235996,Cluster 3,211626.56656123223,290687.5252239525,151046.00100171583
2016-03-26,201923.400009,Cluster 3,211626.33236080053,300105.03513544187,200828.4375790376
2016-03-27,211180.937871,Cluster 3,211626.23435410735,333413.1384616108,218131.45059257944
2016-03-28,182470.56891,Cluster 3,211626.1896567377,349566.9511407106,163482.7366967878
2016-03-29,171431.646106,Cluster 3,211626.2914034532,311132.70352906984,161595.1154823572
2016-03-30,178487.311016,Cluster 3,211626.45692164407,336715.96984965936,161757.32570188536
2016-03-31,166845.88599,Cluster 3,211626.4900232075,321401.74330029933,139972.61501668184
2016-04-01,226248.935014,Cluster 3,211626.3584806103,295060.30278052494,205613.85615367736
2016-04-02,283398.80797,Cluster 3,211626.2686619532,304383.5255142639,259123.6845142964
2016-04-03,302866.944967,Cluster 3,211626.2310752181,337153.488516759,279788.8594420486
2016-04-04,211676.749009,Cluster 3,211626.2139332441,353047.89351858833,226382.80602215923
2016-04-05,196691.581991,Cluster 3,211626.25295432223,315230.3631093808,226733.00273325105
2016-04-06,200553.9929745,Cluster 3,211626.31643252133,340437.19388886663,228644.6034822175
2016-04-07,156536.06801,Cluster 3,211626.32912736543,325302.71276870766,207583.952906778
2016-04-08,181391.200253,Cluster 3,211626.2786792115,299366.1036039448,177099.26315832773
2016-04-09,231380.20994,Cluster 3,211626.2442326859,308586.51244136057,227070.85031595
2016-04-10,244724.713014,Cluster 3,211626.229817725,340845.8370646413,243965.45811668865
2016-04-11,176325.006911,Cluster 3,211626.2232435736,356486.1498791423,186579.3545711707
2016-04-12,175465.87599,Cluster 3,211626.23820862224,319258.1759049998,183760.6673046712
